region	trait_pair	eur_h4	afr_h4	expected_afr	residual	power_ratio	classification
11:62750000-75250000	t2d-stroke	0.0186	0.0537	0.0137	0.0400	0.751	CONCORDANT_NULL
5:146750000-149250000	t2d-stroke	0.0186	0.0063	0.0133	-0.0070	0.709	CONCORDANT_NULL
9:95750000-97250000	t2d-stroke	0.0184	0.0021	0.0120	-0.0099	0.592	CONCORDANT_NULL
6:75750000-77250000	t2d-stroke	0.0182	0.0074	0.0141	-0.0067	0.834	CONCORDANT_NULL
9:98750000-100250000	t2d-asthma	0.0178	0.0089	0.0151	-0.0062	89.244	CONCORDANT_NULL
2:210750000-215250000	t2d-stroke	0.0177	0.0160	0.0121	0.0039	0.646	CONCORDANT_NULL
12:95750000-100250000	t2d-asthma	0.0171	0.0373	0.0145	0.0228	60.336	CONCORDANT_NULL
3:178750000-190250000	t2d-stroke	0.0170	0.0392	0.0121	0.0271	0.705	CONCORDANT_NULL
8:79750000-83250000	stroke-asthma	0.0163	0.0122	0.0139	-0.0017	66.333	CONCORDANT_NULL
14:71750000-74250000	t2d-asthma	0.0162	0.0317	0.0138	0.0179	51.599	CONCORDANT_NULL
16:18750000-22250000	t2d-stroke	0.0157	0.0102	0.0113	-0.0011	0.716	CONCORDANT_NULL
1:36750000-53250000	t2d-stroke	0.0152	0.0516	0.0105	0.0411	0.660	CONCORDANT_NULL
4:0-4250000	t2d-asthma	0.0151	0.0395	0.0128	0.0267	47.275	CONCORDANT_NULL
11:15750000-19250000	t2d-stroke	0.0151	0.0190	0.0103	0.0087	0.644	CONCORDANT_NULL
2:94750000-99250000	t2d-stroke	0.0148	0.0027	0.0094	-0.0067	0.560	CONCORDANT_NULL
12:117750000-119250000	t2d-asthma	0.0148	0.0227	0.0126	0.0101	74.160	CONCORDANT_NULL
5:118750000-120250000	t2d-stroke	0.0147	0.0031	0.0098	-0.0067	0.619	CONCORDANT_NULL
13:109750000-113250000	t2d-stroke	0.0146	0.0061	0.0100	-0.0039	0.644	CONCORDANT_NULL
7:97750000-101250000	t2d-stroke	0.0146	0.0267	0.0096	0.0171	0.600	CONCORDANT_NULL
5:54750000-58250000	t2d-asthma	0.0145	0.0178	0.0123	0.0055	55.784	CONCORDANT_NULL
2:217750000-221250000	t2d-stroke	0.0144	0.0110	0.0103	0.0007	0.704	CONCORDANT_NULL
6:115750000-123250000	t2d-stroke	0.0143	0.0101	0.0095	0.0006	0.605	CONCORDANT_NULL
2:225750000-231250000	t2d-stroke	0.0143	0.0244	0.0101	0.0143	0.687	CONCORDANT_NULL
15:45750000-50250000	t2d-stroke	0.0142	0.0130	0.0098	0.0032	0.657	CONCORDANT_NULL
