region_id	ancestry	region_class	window_span_mb	n_var	routed_path	est_block_count	est_output_gib	over_threshold
m2_region_00103	EUR	small	2.7994	11981	A.1	4.5	0.287088722	False
m2_region_00104	AFR	medium	16.0105	129514	A.3	512.0	33.547752392	True
m2_region_00104	EUR	medium	16.0105	71502	A.3	162.0	10.225072008	True
m2_region_00105	AFR	large	35.128	280888	A.3	2380.5	157.796137088	True
m2_region_00105	EUR	large	35.128	156708	A.3	760.5	49.114794528	True
m2_region_00106	AFR	small	2.439	26462	A.1	24.5	1.400474888	False
m2_region_00106	EUR	small	2.439	14649	A.1	8.0	0.429186402	False
m2_region_00107	AFR	medium	14.988	129263	A.3	512.0	33.417846338	True
m2_region_00107	EUR	medium	14.988	72429	A.3	162.0	10.491920082	True
m2_region_00108	AFR	large	41.7819	298332	A.3	2664.5	178.003964448	True
m2_region_00108	EUR	large	41.7819	162978	A.3	800.0	53.123656968	True
m2_region_00109	AFR	medium	15.9037	129682	A.3	512.0	33.634842248	True
m2_region_00109	EUR	medium	15.9037	69239	A.3	144.5	9.588078242	False
m2_region_00110	AFR	medium	14.5755	104967	A.3	338.0	22.036142178	True
m2_region_00110	EUR	medium	14.5755	57145	A.3	98.0	6.53110205	False
m2_region_00111__sub00	AFR	medium	7.5952	59585	A.2	88.87134575838132	5.609357468069843	False
m2_region_00111__sub00	EUR	medium	9.5952	37262	A.2	50.0	2.776913288	False
m2_region_00111__sub01	AFR	medium	10.5952	83793	A.3	124.86728721524148	7.952168201804413	False
m2_region_00111__sub01	EUR	medium	14.1905	58206	A.3	79.27840164594646	4.774939450327959	False
m2_region_00111__sub02	AFR	medium	10.5952	80408	A.3	113.258310399312	7.322655424898462	False
m2_region_00111__sub02	EUR	medium	14.5952	62058	A.3	87.69977134340085	5.2773273878369595	False
m2_region_00111__sub03	AFR	medium	10.5952	78095	A.3	113.258310399312	6.907430707857833	False
m2_region_00111__sub03	EUR	medium	14.5952	61060	A.3	77.0798771572859	5.108955112721955	False
m2_region_00111__sub04	AFR	medium	10.5952	78074	A.3	113.258310399312	6.903716346071716	False
